,closed_at,created_at,issue_comments,issue_desc,issue_id
0,2020-07-28 00:14:42,2020-07-29 06:08:20,Move from humanize to pendulum library for displaying query duration,"# # Description As per # 1015 , this removes the ` humanize ` library in favor of ` pendulum ` for showing query duration . It does add ` dateutil ` and ` pytzdata ` as dependencies , which may not be desirable - just thought I 'd throw it out there since it was such an easy change . # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1199.0
1,2020-07-27 23:38:02,2020-07-31 17:25:07,More explicit error message when DSN alias is not found,"# # Description Today I made a typo in a DSN alias while connecting , and the `` invalid DSN '' error made me look at my pgcli config file , wondering how it changed , before I realized I just misspelled the alias . So I figured it might be nice to make the error for that case more explicit . I 'm happy to add a test or two but I could n't find any other tests for the ` cli ` function / error cases to base it off of . # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1198.0
2,2020-07-05 11:52:21,2020-07-08 03:19:23,Add custom color,"# # Description Since the only way to customize the string , number , keyword color is by changing through ` syntax_style = < given_style > ` , I added some custom color types which will overwrite prompt_toolkit 's style color via ` merge_styles ` func . # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1196.0
3,2020-07-01 19:28:24,2020-07-31 17:22:00,Update suggestion literals,"# # Description Current datatype / function suggestions based on the pgliterals.json is out of date . So I chose to update datatypes / functions of pgliterals.json according to current version 's document . - datatypes ( https : //www.postgresql.org/docs/current/datatype.html ) - Table 8.1 . Data Types - Table 8.26 . Object Identifier Types - Table 8.27 . Pseudo-Types - functions ( https : //www.postgresql.org/docs/current/functions.html ) - Table 9.3 . Comparison Functions - Table 9.5 . Mathematical Functions - Table 9.9 . SQL String Functions and Operators - Table 9.10 . Other String Functions - Table 9.12 . SQL Binary String Functions and Operators - Table 9.13 . Other Binary String Functions - Table 9.24 . Formatting Functions - Table 9.31 . Date/Time Functions - Table 9.33 . Enum Support Functions - Table 9.35 . Geometric Functions - Table 9.36 . Geometric Type Conversion Functions - Table 9.38. cidr and inet Functions - Table 9.52 . Array Functions - Table 9-42 . General-Purpose Aggregate Functions - Table 9-44 . General-Purpose Window Functions - [ x ] Updated function / database test cases # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1195.0
4,2020-06-26 20:57:15,2020-06-28 02:12:18,J bennet/fix sql comment,"# # Description Fixes https : //github.com/dbcli/pgcli/issues/1193 . # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1194.0
5,2020-06-25 09:54:18,2020-06-28 02:12:18,`` list index out of range '' -error when including file with trailing comments separated by newline,"# # Description To reproduce : Connect to a postgres database , save the following to a file and include it via ` \i < file > ` :",1193.0
6,2020-05-26 13:14:30,2020-05-26 18:28:49,Minor typo fixes in pgclirc,"# # Description * Corrected a couple of minor typos in ` pgclirc ` * Added name to AUTHORS and noted change in ` changelog.rst ` # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1187.0
7,2020-05-24 15:36:54,2020-05-28 22:29:51,Support style for missing value .,"# # Description New feature ! Support settings for ` null ` . close # 1185 ( This PR is blocking by the release of https : //github.com/dbcli/cli_helpers/pull/61 ) # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1186.0
8,2020-05-11 13:14:29,2020-05-11 16:51:23,Update python version from 2.7 to 3.8 in Dockerfile,# # Description Running ` docker build -t . ` command fails with an error : # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits ),1181.0
9,2020-04-18 17:40:27,2020-04-23 17:17:41,Add support for using pspg as the pager .,"addresses # 1102 # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1173.0
10,2020-04-17 22:38:07,2020-04-18 05:58:14,show_bottom_toolbar - Feature to Show/Hide Toolbar,"First open source commit ! 🍻 # # Description This change introduces ` show_bottom_toolbar ` config option in pgclirc of True or False . Defaulting to True . # # # If False the toolbar will be hidden . < img width= '' 640 '' alt= '' Screenshot 2020-04-17 at 23 34 34 '' src= '' https : //user-images.githubusercontent.com/40718272/79619189-175c5200-8104-11ea-8eb9-284d84b9200c.png '' > # # # If True the toolbar will be visible . < img width= '' 630 '' alt= '' Screenshot 2020-04-17 at 23 35 05 '' src= '' https : //user-images.githubusercontent.com/40718272/79619199-1cb99c80-8104-11ea-8fd4-2ddfccf9eb5b.png '' > This change was requested [ here ] ( https : //github.com/dbcli/pgcli/issues/939 # issuecomment-615469759 ) . # # Checklist - [ x ] I 've added this contribution to the ` changelog.rst ` . - [ x ] I 've added my name to the ` AUTHORS ` file ( or it 's already there ) . - [ x ] I installed pre-commit hooks ( ` pip install pre-commit & & pre-commit install ` ) , and ran ` black ` on my code . - [ x ] Please squash merge this pull request ( uncheck if you 'd like us to merge as multiple commits )",1170.0
11,2020-04-03 22:23:59,2020-04-10 22:14:57,New release 3.0.0 .,Changelog update . Major version bump because we 're dropping old versions of Python .,1165.0
12,2020-03-30 11:01:50,2020-03-30 12:50:07,Add -- help output to README,"Additionally , refer to environment variables which can be used to configure login options .",1164.0
