,closed_at,created_at,issue_comments,issue_desc,issue_id
0,2020-08-24 01:52:29,2020-08-23 13:06:15,Fix pre-commit cache key in GitHub Actions,Fix pre-commit cache key to include full Python version as per https : //github.com/pre-commit/pre-commit/issues/1575 # issuecomment-678792700 and https : //pre-commit.com/ # github-actions-example .,3740.0
1,2020-07-31 01:48:46,2020-07-31 01:41:47,cleaner message when CLI ca n't load app,"When loading the app fails for the ` -- help ` command , only the error message is shown , then the help text . The full traceback is still shown for other exceptions . Also show the message when loading fails while getting a command , instead of only `` command not found '' . The error message goes to ` stderr ` to match other error behavior , and is in red with an extra newline to make it more obvious next to the help text . Also fixes an issue with the ` test_apps ` fixture that caused an imported app to still be importable after the test was over and the path was reset . Now the module cache is reset as well . This was causing an issue with the new tests , because previous tests had imported ` test_apps/helloworld/wsgi ` , one of the default imports that is tried if ` FLASK_APP ` is n't set , which caused the test to import an app successfully even though it should have failed and shown an error . This also revealed an issue with an existing test relying on the cached behavior . fixes # 2741",3711.0
2,2020-08-01 14:48:58,2020-07-30 19:11:22,Common API Between Flask + Blueprint,Resolves # 3215,3709.0
3,2020-07-29 08:32:41,2020-07-29 08:29:53,Bump pytest from 5.4.3 to 6.0.0,"Bumps [ pytest ] ( https : //github.com/pytest-dev/pytest ) from 5.4.3 to 6.0.0 . < details > < summary > Release notes < /summary > < p > < em > Sourced from < a href= '' https : //github.com/pytest-dev/pytest/releases '' > pytest 's releases < /a > . < /em > < /p > < blockquote > < h2 > 6.0.0 < /h2 > < h1 > pytest 6.0.0 ( 2020-07-28 ) < /h1 > < p > ( < strong > Please see the full set of changes for this release also in the 6.0.0rc1 notes below < /strong > ) < /p > < h2 > Breaking Changes < /h2 > < ul > < li > < p > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/5584 '' > # 5584 < /a > : < strong > PytestDeprecationWarning are now errors by default. < /strong > < /p > < p > Following our plan to remove deprecated features with as little disruption as possible , all warnings of type < code > PytestDeprecationWarning < /code > now generate errors instead of warning messages. < /p > < p > < strong > The affected features will be effectively removed in pytest 6.1 < /strong > , so please consult the < a href= '' https : //docs.pytest.org/en/latest/deprecations.html '' > Deprecations and Removals < /a > section in the docs for directions on how to update existing code. < /p > < p > In the pytest < code > 6.0.X < /code > series , it is possible to change the errors back into warnings as a stopgap measure by adding this to your < code > pytest.ini < /code > file : < /p > < pre lang= '' { .sourceCode '' data-meta= '' .ini } '' > < code > [ pytest ] filterwarnings = ignore : :pytest.PytestDeprecationWarning < /code > < /pre > < p > But this will stop working when pytest < code > 6.1 < /code > is released. < /p > < p > < strong > If you have concerns < /strong > about the removal of a specific feature , please add a comment to < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/5584 '' > # 5584 < /a > . < /p > < /li > < li > < p > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7472 '' > # 7472 < /a > : The < code > exec_ ( ) < /code > and < code > is_true ( ) < /code > methods of < code > _pytest._code.Frame < /code > have been removed. < /p > < /li > < /ul > < h2 > Features < /h2 > < ul > < li > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7464 '' > # 7464 < /a > : Added support for NO_COLOR and FORCE_COLOR environment variables to control colored output. < /li > < /ul > < h2 > Improvements < /h2 > < ul > < li > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7467 '' > # 7467 < /a > : < code > -- log-file < /code > CLI option and < code > log_file < /code > ini marker now create subdirectories if needed. < /li > < li > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7489 '' > # 7489 < /a > : The pytest.raises function has a clearer error message when < code > match < /code > equals the obtained string but is not a regex match . In this case it is suggested to escape the regex. < /li > < /ul > < h2 > Bug Fixes < /h2 > < ul > < li > < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7392 '' > # 7392 < /a > : Fix the reported location of tests skipped with < code > @ pytest.mark.skip < /code > when < code > -- runxfail < /code > is used. < /li > < /ul > < /blockquote > < /details > < details > < summary > Changelog < /summary > < p > < em > Sourced from < a href= '' https : //github.com/pytest-dev/pytest/blob/master/CHANGELOG.rst '' > pytest 's changelog < /a > . < /em > < /p > < /details > < details > < summary > Commits < /summary > < ul > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/41a453959441d9b03cba3e47730efca27fa2f252 '' > < code > 41a4539 < /code > < /a > Add link to 6.0.0rc1 changelog < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/45ced1dc056d586fe3714823fa033cab27055c9f '' > < code > 45ced1d < /code > < /a > Update doc/en/announce/release-6.0.0.rst < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/1e4b8d447cfaaf4ee7c4636d2a03cf484d06f1cd '' > < code > 1e4b8d4 < /code > < /a > Prepare release version 6.0.0 < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/38029828d1d6bdc15b63a873142b1e91265e1a1c '' > < code > 3802982 < /code > < /a > Support generating major releases using issue comments ( < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7548 '' > # 7548 < /a > ) < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/c2c0b7a5426ed74ba0df1bbc4997ffe45e302ccf '' > < code > c2c0b7a < /code > < /a > Merge pull request < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7545 '' > # 7545 < /a > from asottile/pylib_in_docs < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/9818899df4eacb65a4ec1397a93b5ebcf43e825c '' > < code > 9818899 < /code > < /a > remove usage of pylib in docs < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/3a060b77e81ebf990159e59cc8f8de26ad998e12 '' > < code > 3a060b7 < /code > < /a > Revert change to traceback repr ( < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7535 '' > # 7535 < /a > ) < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/7ec6401ffabf79d52938ece5b8ff566a8b9c260e '' > < code > 7ec6401 < /code > < /a > Change pytest deprecation warnings into errors for 6.0 release ( < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7362 '' > # 7362 < /a > ) < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/a9799f0b35fe8fcc88ebd19b007cd2c6ac6b2a4f '' > < code > a9799f0 < /code > < /a > Merge pull request < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7531 '' > # 7531 < /a > from bluetech/changelog-mypy-version < /li > < li > < a href= '' https : //github.com/pytest-dev/pytest/commit/102360b49051e7d2407003445157b0115ae18234 '' > < code > 102360b < /code > < /a > Merge pull request < a href= '' https : //github-redirect.dependabot.com/pytest-dev/pytest/issues/7519 '' > # 7519 < /a > from hroncok/pytest_warning_captured_deprecated < /li > < li > Additional commits viewable in < a href= '' https : //github.com/pytest-dev/pytest/compare/5.4.3 ... 6.0.0 '' > compare view < /a > < /li > < /ul > < /details > < br / > [ ! [ Dependabot compatibility score ] ( https : //api.dependabot.com/badges/compatibility_score ? dependency-name=pytest & package-manager=pip & previous-version=5.4.3 & new-version=6.0.0 ) ] ( https : //dependabot.com/compatibility-score/ ? dependency-name=pytest & package-manager=pip & previous-version=5.4.3 & new-version=6.0.0 ) Dependabot will resolve any conflicts with this PR as long as you do n't alter it yourself . You can also trigger a rebase manually by commenting ` @ dependabot rebase ` . [ // ] : # ( dependabot-automerge-start ) If all status checks pass Dependabot will automatically merge this pull request . [ // ] : # ( dependabot-automerge-end ) -- - < details > < summary > Dependabot commands and options < /summary > < br / > You can trigger Dependabot actions by commenting on this PR : - ` @ dependabot rebase ` will rebase this PR - ` @ dependabot recreate ` will recreate this PR , overwriting any edits that have been made to it - ` @ dependabot merge ` will merge this PR after your CI passes on it - ` @ dependabot squash and merge ` will squash and merge this PR after your CI passes on it - ` @ dependabot cancel merge ` will cancel a previously requested merge and block automerging - ` @ dependabot reopen ` will reopen this PR if it is closed - ` @ dependabot close ` will close this PR and stop Dependabot recreating it . You can achieve the same result by closing it manually - ` @ dependabot ignore this major version ` will close this PR and stop Dependabot creating any more for this major version ( unless you reopen the PR or upgrade to it yourself ) - ` @ dependabot ignore this minor version ` will close this PR and stop Dependabot creating any more for this minor version ( unless you reopen the PR or upgrade to it yourself ) - ` @ dependabot ignore this dependency ` will close this PR and stop Dependabot creating any more for this dependency ( unless you reopen the PR or upgrade to it yourself ) - ` @ dependabot use these labels ` will set the current labels as the default for future PRs for this repo and language - ` @ dependabot use these reviewers ` will set the current reviewers as the default for future PRs for this repo and language - ` @ dependabot use these assignees ` will set the current assignees as the default for future PRs for this repo and language - ` @ dependabot use this milestone ` will set the current milestone as the default for future PRs for this repo and language - ` @ dependabot badge me ` will comment on this PR with code to add a `` Dependabot enabled '' badge to your readme Additionally , you can set the following in your Dependabot [ dashboard ] ( https : //app.dependabot.com ) : - Update frequency ( including time of day and day of week ) - Pull request limits ( per update run and/or open at any time ) - Automerge options ( never/patch/minor , and dev/runtime dependencies ) - Out-of-range updates ( receive only lockfile updates , if desired ) - Security updates ( receive only security updates , if desired ) < /details >",3705.0
4,2020-07-29 02:44:24,2020-07-26 13:29:56,remove unnecessary docstrings from tests,Remove docstrings with tests which contain no information except for what is already in the name of the test .,3699.0
5,2020-07-23 23:52:53,2020-07-23 23:51:02,remove lowest version test until next release,"The next major release will depend on the next major releases of all the other libraries , which is equivalent to devel right now . Remove lowest , to be added back after the release .",3694.0
6,2020-07-21 04:16:20,2020-07-21 04:13:53,Update Discord invite links,Replace old invite links with the newly created unique URL .,3691.0
7,2020-07-23 23:57:20,2020-07-11 19:25:38,make_response uses headers.update,fixes # 3628 Changed ` make_response ` to use ` headers.update ` instead of ` headers.extend ` .,3684.0
8,2020-07-08 13:56:12,2020-07-08 13:54:01,Some small doc fixes,Small text adjustments .,3680.0
9,2020-07-05 00:28:29,2020-07-03 10:26:59,Added very small clarification to quickstart.rst,"Added little bit clarification to quickstart.srt so that it 'd be easy to understand for persons who do n't have English as native language . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3674.0
